Voltage_measured,Current_measured,Temperature_measured,Time,Battery,Current_charge,Voltage_charge,Cycle,Capacity,SOC,SOH,SOC_Bin,Operation_Type
0.5018299717027334,0.8039458291134242,0.6230821267592815,0.4284903395451453,4219,0.8079734219269104,0.8787094204341765,0.3315064954211457,0.6684935045788543,50.18299717027335,87.925035,"(50.0, 60.0]",Charging
0.4991545005883798,0.7757157232507171,0.0215485617657422,0.5871292344241231,422,0.7797674418604651,0.8552081258713404,0.5800065093540736,0.4199934906459266,49.91545005883799,78.87354500000001,"(40.0, 50.0]",Charging
0.4745757911083967,0.9957437414528008,0.3501742711497273,0.0372485961239498,2446,0.9988372093023256,0.9410476000796656,0.3252296771088584,0.6747703228911417,47.45757911083967,88.153665,"(40.0, 50.0]",Charging
0.5004382386407645,0.7795491256694876,0.3288253883674705,0.4349143439885229,5086,0.7827242524916944,0.8593905596494722,0.145975902761067,0.854024097238933,50.04382386407647,94.682895,"(50.0, 60.0]",Charging
0.5002100929216842,0.7558108793666046,0.6354607967759055,0.7348047107270793,2380,0.7593023255813953,0.8454491137223662,0.5316613087809978,0.4683386912190019,50.02100929216843,80.634495,"(50.0, 60.0]",Charging
0.492991018012644,0.9923901055883104,0.3684578829919544,0.2184984153044002,5974,0.9987541528239204,0.9747062338179646,0.6749066322246521,0.325093367775348,49.299101801264406,75.416855,"(40.0, 50.0]",Charging
0.4990500095505865,0.7514955223255139,0.0406584934615855,0.2176636644536356,3400,0.7555980066445183,0.8400716988647681,0.3387857981872368,0.6612142018127629,49.905000955058654,87.65988999999999,"(40.0, 50.0]",Charging
0.5001638132907766,0.7516489620153353,0.300896687252154,0.080591770046152,6492,0.7551495016611296,0.843258315076678,0.5347007461048544,0.4652992538951455,50.01638132907766,80.523785,"(50.0, 60.0]",Charging
0.5010940509439016,0.7799441408859328,0.3380110491802,0.4406740416702522,5639,0.7837209302325582,0.8625771758613822,0.8820349102891034,0.1179650897108965,50.10940509439016,67.87231,"(50.0, 60.0]",Charging
0.5012979279424372,0.9248098065113208,0.0797936879954784,0.0637721550741732,3120,0.928405315614618,0.9486158135829516,0.6547232419493415,0.3452767580506586,50.12979279424373,76.152025,"(50.0, 60.0]",Charging
0.4964940165636341,0.99589949374222,0.3794095630769609,0.1511157848696116,4830,1.0,0.9788886675960964,0.3612518550355042,0.6387481449644958,49.64940165636341,86.841575,"(40.0, 50.0]",Charging
0.4999910809322418,0.7509276039967321,0.3124511984853326,0.8337081285470093,2118,0.7551495016611296,0.843258315076678,0.9965332404654504,0.0034667595345494,49.99910809322418,63.701765,"(40.0, 50.0]",Charging
0.392269510874367,0.5810079164463695,0.0959856031817878,0.3803593874623953,980,0.8341476929445436,0.8103813914828369,0.2933511381966618,0.7066488618033382,39.22695108743671,89.314825,"(30.0, 40.0]",Charging
0.5011185872538475,0.776191229713428,0.3441067840141835,0.4917454315854156,5489,0.7799003322259136,0.860386377215694,0.0392684814797071,0.9607315185202931,50.11185872538477,98.56966,"(50.0, 60.0]",Charging
0.5001888100078469,0.8847697082227033,0.3925657601006663,0.3461871037972151,4086,0.8883720930232558,0.9219279028082056,0.7677688413336021,0.2322311586663976,50.018881000784695,72.03439499999999,"(50.0, 60.0]",Charging
0.5004264111904794,0.7666084885597262,0.3136695018658088,0.5756141833514391,6530,0.7699335548172758,0.8520215096594304,0.3017443888393267,0.6982556111606735,50.04264111904795,89.009105,"(50.0, 60.0]",Charging
0.4514905661973167,0.4167066645034532,0.3800060631983866,0.0503824963163649,5794,0.8341476929445436,0.8103813914828369,0.6861441219311011,0.3138558780688989,45.14905661973168,75.007535,"(40.0, 50.0]",Charging
